Key,Median_Largest_Improvement_Ratio
weights,0.0029411764705882353
time,0.0031746031746031746
perf_cache_references,0.0032520325203252032
perf_cache_misses,0.0035587188612099642
perf_cycles,0.0036496350364963502
perf_branches,0.003952569169960474
perf_faults,0.004158004158004158
perf_instructions,0.0045662100456621
perf_L1_dcache_loads,0.0049504950495049506
perf_time,0.0053475935828877
perf_branch_misses,0.006329113924050633
energy,0.010914132326480044
perf_task_clock,0.012663366336633664
perf_cpu_clock,0.01348747591522158
