Key,Median,IQR
weights,0.0027522935779816515,0.002442466348241424
perf_cache_misses,0.003080082135523614,0.0017473162314757176
perf_task_clock,0.0044444444444444444,0.0031216294698415328
perf_faults,0.009900990099009901,0.010412871888281727
perf_cpu_clock,0.10227272727272728,0.18995610584289205
perf_branch_misses,0.24948453608247423,0.323892811296534
perf_branches,0.3338473400154202,0.23494502293745
perf_cycles,0.4946524064171123,0.5196963175159188
energy,0.5591397849462365,0.5535958005249344
time,0.5953947368421053,0.3314532538464284
perf_cache_references,0.6296296296296297,0.6743883508482725
perf_instructions,0.655893536121673,0.33635023343435166
perf_L1_dcache_loads,0.7528409090909091,0.10128205128205126
perf_time,0.7607843137254902,0.6125232815964523
