item_name,rank_median_execution_time,median_execution_time
perf_task_clock_1,1.0,4.356136787682772
perf_cycles_3,2.0,4.433423831505934
perf_time_2,3.0,4.433587948966306
time_1,4.0,4.435959375507082
perf_branch_misses_5,5.0,4.438472323468886
perf_time_5,6.0,4.4406405100016855
time_5,7.0,4.441659279487794
perf_cycles_1,8.0,4.4447214675019495
perf_cache_references_2,9.0,4.444736755991471
time_2,10.0,4.446495960990433
perf_cache_references_1,11.0,4.4469417149957735
perf_instructions_4,12.0,4.447283626999706
energy_4,13.0,4.447712918568868
energy_3,14.0,4.448676770552993
perf_cycles_2,15.0,4.45185916950868
perf_cycles_4,16.0,4.452221547951922
time_4,17.0,4.452450349999708
perf_time_1,18.0,4.452707443997497
perf_cache_references_5,19.0,4.452860491059255
perf_cycles_5,20.0,4.455277116008801
perf_time_3,21.0,4.458896635987912
time_3,22.0,4.459811962005915
perf_branch_misses_3,23.0,4.46058036753675
perf_time_4,24.0,4.460992118983995
perf_branch_misses_4,25.0,4.46210143645294
energy_1,26.0,4.468614990008064
energy_5,27.0,4.476625929004513
perf_L1_dcache_loads_4,28.0,4.478423445019871
energy_2,29.0,4.479409959400073
perf_instructions_5,30.0,4.486319979943801
perf_L1_dcache_loads_3,31.0,4.51852380897617
perf_cache_references_4,32.0,4.586858714988921
perf_cache_references_3,33.0,4.644208277517464
perf_instructions_2,34.0,4.746175473032054
perf_instructions_1,35.0,4.751046892546583
perf_branch_misses_1,36.0,4.75344941142248
perf_branch_misses_2,37.0,4.753941789967939
perf_instructions_3,38.0,4.755886323051527
perf_L1_dcache_loads_2,39.0,4.771008267533034
perf_branches_1,40.0,4.773712063499261
perf_branches_4,41.0,4.7838859260082245
perf_L1_dcache_loads_1,42.0,4.787187030015048
perf_branches_3,43.0,4.788954915944487
perf_L1_dcache_loads_5,44.0,4.794304579496384
perf_branches_5,45.0,4.796906400471926
perf_branches_2,46.0,4.797319594479632
perf_cache_misses_5,47.0,5.781911764002871
weights_2,48.0,6.408509342989419
perf_cpu_clock_5,49.0,6.41317809256725
perf_cache_misses_2,50.0,7.506949621019885
perf_cache_misses_1,51.0,7.509794402983971
weights_1,52.0,8.719376098481007
perf_cpu_clock_1,53.0,8.74496141646523
weights_5,54.0,8.745107385562733
perf_task_clock_3,55.0,9.111901072552428
perf_cpu_clock_2,56.0,9.152335603022948
perf_cpu_clock_3,57.0,9.169034112477675
perf_cpu_clock_4,58.0,9.191150960046798
perf_task_clock_4,59.0,9.411399191012606
perf_cache_misses_3,60.0,9.991539675975218
weights_4,61.0,10.047713341016788
perf_task_clock_5,62.0,10.15805552562233
original,63.0,10.223790427990025
perf_cache_misses_4,64.0,10.656828637933359
perf_faults_2,65.0,10.893420699983835
perf_faults_3,66.0,10.914664565003477
perf_task_clock_2,67.0,16.31837532389909
perf_faults_5,68.0,19.032499572611414
perf_faults_4,69.0,19.321319945855066
weights_3,70.0,19.510319479450118
perf_faults_1,71.0,25.94164891843684
