item_name,total_decreases,average_decrease_percentage_per_step,proportion_of_decreases
energy,6.0,0.0474826195089268,0.0983606557377049
perf_L1_dcache_loads,7.0,0.0404203504349344,0.0736842105263157
perf_branch_misses,9.0,0.0411827823141601,0.0787401574803149
perf_branches,8.0,0.0397156126240932,0.0808080808080808
perf_cache_misses,8.0,0.0425109678607686,0.0681818181818181
perf_cache_references,8.0,0.047648321941553,0.0769230769230769
perf_cpu_clock,4.0,0.1706349206349206,0.0529801324503311
perf_cycles,10.0,0.04286077934289,0.0847457627118644
perf_faults,9.0,0.0107744700839645,0.09
perf_instructions,9.0,0.0375048402593696,0.0926966292134831
perf_task_clock,4.0,0.2,0.0510204081632653
perf_time,8.0,0.0454472186261762,0.0769230769230769
time,9.0,0.047025026779628,0.0869565217391304
weights,5.0,0.0894191335581784,0.0769230769230769
