item_name,rank_median_execution_time_median,median_execution_time_median,rank_median_execution_time_IQR,median_execution_time_IQR
energy_4,17.0,5.395749675502884,49.0,5.671278660729062


perf_branch_misses_2,23.0,5.040157877992897,34.0,5.345209288294427
perf_branch_misses_1,24.0,5.652794366062153,38.0,7.887458544926631
perf_cache_misses_2,25.0,4.913235105981585,20.0,6.765970473493809
perf_branch_misses_3,26.0,8.19865239699999,31.0,6.408986805690802




perf_cycles_4,28.0,5.461905885487795,22.5,6.012161287571871
perf_branch_misses_5,28.0,5.491696932469495,6.5,6.133872059454177
energy_3,28.0,5.415732319932431,35.5,4.910384868766414
perf_cache_references_5,29.0,6.267422044998966,12.5,5.121145749497373
perf_instructions_3,30.0,5.629778889473528,22.5,5.635398486993765
perf_time_2,30.0,5.604399725503754,23.5,6.270668020503976
perf_branches_4,32.0,5.667710873007309,22.5,5.497040826212469
perf_cache_references_4,32.0,5.3372030279715545,22.0,6.11962783452509
perf_instructions_5,33.0,5.602859421051107,16.5,6.352708268243106

perf_branches_2,33.0,5.635500650969334,28.5,5.11114132676812
weights_3,33.0,6.875036467565224,34.5,4.659890303948487
perf_cache_misses_1,33.0,6.192679329484236,46.5,8.025329497668281
perf_instructions_2,33.0,5.470692639995832,40.5,5.395307601207605
perf_instructions_4,35.0,5.620811248023529,18.0,5.414310238714279
perf_cache_misses_4,35.0,5.786533492500894,30.0,5.523302212493945
perf_instructions_1,35.0,5.613667722500395,13.0,5.460393916970133
weights_4,36.0,7.378538595512509,37.0,4.188857378758257

perf_cache_references_3,36.0,5.618728822038975,17.5,5.880362549945858
perf_branches_1,37.0,5.06162745050824,23.5,6.955915032562187
perf_branches_5,37.0,5.625603497028351,26.0,5.391310604514729
perf_cache_misses_5,37.0,5.63269369507907,22.5,6.275240597751377
perf_branch_misses_4,37.0,5.641371502541006,19.5,6.107875880803476
perf_L1_dcache_loads_1,37.0,5.541854010996758,31.5,6.89312060771573
perf_faults_2,38.0,7.813019279506989,42.0,6.409299666971492
weights_2,38.0,6.591493028499826,23.5,4.006937014768482
energy_1,38.0,7.326036623981781,50.5,5.387595773194917
perf_L1_dcache_loads_3,39.0,5.835117015463766,43.5,4.87435652174787
perf_cache_misses_3,40.0,5.641228841501288,25.5,6.290588393536496
perf_L1_dcache_loads_4,40.0,5.847645396483131,25.0,6.134568693258586
perf_L1_dcache_loads_2,44.0,5.659567366470583,18.5,5.873100446166063
perf_L1_dcache_loads_5,44.0,6.157279314473271,27.5,4.702147227537353
weights_1,53.0,7.048667840950657,31.5,5.043752823228715
 up to here

energy_5,46.0,8.30799792893231,22.5,5.150779904201045
perf_branches_3,47.0,5.654388730472419,24.5,5.498721078252856
perf_faults_5,49.0,8.96432984250714,16.0,6.445310304260886
energy_2,49.0,7.026036623981781,27.0,4.883513435670466
perf_faults_4,50.0,8.977832420991035,11.0,6.506014590736385
weights_5,51.0,6.886312476941384,27.5,4.759751292236615
perf_faults_3,52.0,9.016346472519215,18.0,6.343921737541677

perf_task_clock_5,53.0,9.016460391983856,18.5,5.9052702924309415
perf_cpu_clock_3,54.0,9.031741648504976,18.0,6.032648749784656
perf_faults_1,55.0,6.80075488507282,33.5,5.244629850439026
perf_cpu_clock_1,58.0,10.225750320940278,21.0,3.193697306251124
perf_task_clock_3,59.0,9.059250809979858,23.0,5.185508442287178
perf_cpu_clock_2,60.0,9.866194915492088,12.5,2.8346826194953536
original,61.0,10.281700841034764,41.5,4.927204796761089
perf_task_clock_2,62.0,10.46117762400536,6.0,6.612324232541141
perf_cpu_clock_4,63.0,10.50635275800596,5.0,2.4634944279969204
perf_task_clock_4,64.0,10.486866640974768,9.0,3.1923278414506058
perf_cpu_clock_5,65.0,11.405800599999909,10.0,5.506279264722252
perf_task_clock_1,66.0,10.44880471000215,7.0,3.5161569317476165
