item_name_orig,mean_median_execution_time,rank
original,8.07044096000027,1.0
perf_time,8.554668534296798,2.0
time,8.556785379693611,3.0
perf_L1_dcache_loads,8.87015451111365,4.0
perf_cycles,8.909209813398775,5.0
perf_faults,8.91546273319982,6.0
perf_cache_references,8.919760793290333,7.0
perf_branch_misses,8.93437571239192,8.0
perf_branches,8.960861804097657,9.0
perf_instructions,8.988841916696401,10.0
weights,8.994880335405469,11.0
energy,9.006361278693657,12.0
perf_task_clock,9.053802962898043,13.0
perf_cache_misses,9.065233009884832,14.0
perf_cpu_clock,9.082685213402147,15.0
