measure,rank_median_execution_time_median,median_execution_time_median,rank_median_execution_time_mean,median_execution_time_mean,rank_median_execution_time_std,median_execution_time_std,rank_median_execution_time_IQR,median_execution_time_IQR
energy,38.0,7.026036623981781,37.27272727272727,7.026001689419411,21.270978949135028,3.185596259616392,35.5,5.150779904201045
original,61.0,10.281700841034764,46.45454545454545,11.221131790365275,27.96913883680953,4.80091736559233,41.5,4.927204796761089
perf_L1_dcache_loads,40.0,5.835117015463766,37.27272727272727,6.652930286362965,20.09703732122994,3.576799358131803,27.5,5.873100446166063
perf_branch_misses,26.0,5.641371502541006,30.181818181818183,6.46027413064767,19.09640613499637,3.57139193741041,31.0,6.133872059454177
perf_branches,37.0,5.635500650969334,32.0,6.227627737897618,17.620236300138746,3.2129059721148234,24.5,5.497040826212469
perf_cache_misses,35.0,5.641228841501288,32.0,6.501974791230427,19.581995441081723,3.5769332710435826,25.5,6.290588393536496
perf_cache_references,29.0,5.618728822038975,31.454545454545453,6.60235010303522,15.654798857625968,3.5064413204829363,21.0,6.11962783452509
perf_cpu_clock,60.0,10.225750320940278,57.54545454545455,10.705296983834222,19.07926051549645,4.643875022589757,12.5,3.193697306251124
perf_cycles,23.0,5.461905885487795,25.181818181818183,6.065154952636065,11.575836902790224,3.5333161164239497,17.0,6.012161287571871
perf_faults,50.0,8.96432984250714,44.36363636363637,7.392274931487071,21.30855568673169,5.372208855982017,18.0,6.409299666971492
perf_instructions,33.0,5.613667722500395,32.36363636363637,6.172642664273988,16.863085019166462,3.228044105806498,18.0,5.460393916970133
perf_task_clock,62.0,10.44880471000215,60.0,11.408087948258764,13.107249902248755,5.668193802995648,9.0,5.185508442287178
perf_time,17.0,5.4447464644908905,23.818181818181817,6.034453227689043,17.758480688494622,3.260114910189649,19.5,5.590040316259099
time,18.0,5.469586591527332,22.90909090909091,6.056110276180861,16.207742257665288,3.2241863586306145,17.0,5.549051650729439
weights,38.0,6.886312476941384,37.72727272727273,7.132552102902324,21.791157506074462,3.0153206716010352,31.5,4.659890303948487
