item_name,rank_new_highs,new_highs
perf_instructions_2,1.0,0
energy_5,1.0,0
perf_instructions_5,1.0,0
time_5,1.0,0
perf_cache_misses_1,1.0,0
perf_time_1,2.0,1
perf_cache_misses_3,2.0,1
time_2,2.0,1
perf_cycles_4,2.0,1
perf_cycles_3,2.0,1
energy_4,2.0,1
perf_task_clock_1,2.0,1
perf_time_3,2.0,1
perf_time_2,2.0,1
perf_task_clock_3,2.0,1
perf_cache_misses_2,3.0,2
perf_branches_3,3.0,2
perf_task_clock_5,3.0,2
perf_branch_misses_4,3.0,2
weights_5,3.0,2
perf_cache_misses_5,3.0,2
perf_branch_misses_1,3.0,2
perf_cache_misses_4,3.0,2
perf_cpu_clock_1,3.0,2
time_1,3.0,2
perf_cpu_clock_3,3.0,2
perf_cycles_5,3.0,2
perf_instructions_4,3.0,2
perf_time_5,3.0,2
time_4,3.0,2
time_3,3.0,2
perf_cpu_clock_4,4.0,3
perf_cache_references_3,4.0,3
perf_cycles_2,4.0,3
perf_cycles_1,4.0,3
perf_L1_dcache_loads_2,4.0,3
perf_branches_4,4.0,3
energy_2,4.0,3
perf_cpu_clock_2,4.0,3
perf_time_4,4.0,3
perf_cpu_clock_5,4.0,3
energy_3,5.0,4
perf_task_clock_2,5.0,4
perf_L1_dcache_loads_3,5.0,4
perf_branches_5,5.0,4
perf_branches_2,5.0,4
perf_branch_misses_5,5.0,4
perf_L1_dcache_loads_5,6.0,5
perf_L1_dcache_loads_4,6.0,5
perf_L1_dcache_loads_1,6.0,5
perf_cache_references_4,6.0,5
perf_cache_references_5,6.0,5
perf_branches_1,6.0,5
weights_1,6.0,5
weights_4,6.0,5
perf_instructions_3,7.0,6
perf_cache_references_1,7.0,6
energy_1,7.0,6
perf_branch_misses_3,7.0,6
perf_task_clock_4,7.0,6
perf_branch_misses_2,7.0,6
weights_3,7.0,6
perf_cache_references_2,8.0,7
weights_2,8.0,7
perf_instructions_1,9.0,8
perf_faults_4,10.0,10
perf_faults_3,10.0,10
perf_faults_5,11.0,11
perf_faults_2,11.0,11
perf_faults_1,11.0,11
